year,month,day,yaw,roll_bias,ID,WDoffset,zbmin,zsmin,zbmax,zsmax,ABL_sensor,ACC_sensor,zt,zu,lzboom,lzstake,linterpzboom,zm_factor,U_factor,lincl,ldata,lbaro,lanemo,lhum,l_correctRH,l_correctT,pcorr_SWd1,pcorr_SWd2,pcorr_SWu1,pcorr_SWu2,pcorr_LW1,pcorr_LW2,LON,LAT
2009,01,21,0,0,0,0,0.00,0.00,4.1,4.1,1,4,4.0,4.0,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2009,05,08,0,0,0,0,2.20,2.20,5,5,1,4,4.0,4.0,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2010,07,09,0,0,0,0,2.00,2.00,5,5,1,4,4.0,4.0,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2011,01,16,0,0,0,0,3.20,3.20,4.1,4.1,-1,-1,4.02,4.02,0,0,0,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2011,01,24,0,0,0,0,3.20,3.20,4.1,4.1,1,4,4.02,4.02,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2011,06,13,0,0,0,0,2.70,2.70,4.1,4.1,1,4,4.02,4.02,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2012,02,09,0,0,0,0,2.70,2.70,4.1,4.1,-1,-1,4.02,4.02,0,0,0,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2012,03,22,0,0,0,0,2.70,2.70,4.1,4.1,-1,-1,4.02,4.02,0,0,0,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2012,12,31,0,0,0,0,1.50,1.50,4.1,4.1,1,4,4.01,4.01,0,0,0,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2013,01,01,0,0,0,0,1.50,1.50,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2014,02,26,0,0,0,0,1.50,1.50,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2015,01,01,0,0,0,0,2.30,2.30,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2015,01,07,0,0,0,0,2.00,2.00,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2015,01,08,0,0,0,0,1.80,1.80,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2015,01,23,0,0,0,0,1.80,1.80,4.1,4.1,1,4,4.01,4.01,0,0,0,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
2015,01,25,0,0,0,0,2.28,2.28,4.1,4.1,1,4,4.01,4.01,1,0,1,1,1,0,1,1,1,1,0,0,0.0247,-0.2139,-0.0088,-0.2249,0,0,-61.4295,-67.0136
